Date,Time,Servings(ml)
24-12-2017,10:00,163
24-12-2017,10:00,174
24-12-2017,10:00,145
24-12-2017,10:00,170
24-12-2017,10:00,164
24-12-2017,10:00,166
24-12-2017,10:01,172
24-12-2017,10:01,147
24-12-2017,10:01,160
24-12-2017,10:01,152
24-12-2017,10:01,141
24-12-2017,10:01,164
24-12-2017,10:02,144
24-12-2017,10:02,165
24-12-2017,10:02,145
24-12-2017,10:02,147
24-12-2017,10:02,172
24-12-2017,10:02,159
24-12-2017,10:03,147
24-12-2017,10:03,156
24-12-2017,10:03,171
24-12-2017,10:03,165
24-12-2017,10:03,154
24-12-2017,10:03,165
24-12-2017,14:30,168
24-12-2017,14:31,165
24-12-2017,14:32,162
24-12-2017,14:33,155
24-12-2017,14:34,155
24-12-2017,14:35,150
24-12-2017,14:36,148
24-12-2017,14:37,150
24-12-2017,14:38,153
24-12-2017,14:39,155
24-12-2017,14:40,159
24-12-2017,14:41,161
24-12-2017,14:42,162
24-12-2017,14:43,162
24-12-2017,14:44,166
24-12-2017,14:45,143
24-12-2017,14:46,171
24-12-2017,14:47,171
24-12-2017,14:48,176
24-12-2017,14:49,178
24-12-2017,14:50,180
24-12-2017,14:51,179
24-12-2017,14:52,175
24-12-2017,14:53,174
24-12-2017,14:54,170
24-12-2017,14:55,168
24-12-2017,14:56,164
24-12-2017,14:57,160
24-12-2017,14:58,157
24-12-2017,14:59,158
24-12-2017,14:50,178
24-12-2017,14:51,179
24-12-2017,14:52,175
24-12-2017,14:53,174
24-12-2017,14:54,170
24-12-2017,14:55,168
24-12-2017,14:56,164
24-12-2017,14:57,160
24-12-2017,14:58,157
24-12-2017,14:59,158
